Unnamed: 0,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee,airport_fee
137,2,2023-06-30 23:57:50,2023-07-01 00:06:46,2.0,2.28,1.0,N,142,68,2,12.1,1.0,0.5,0.0,0.0,1.0,17.1,2.5,0.0,
138,1,2023-06-30 23:57:50,2023-07-01 00:26:48,1.0,11.8,1.0,N,138,239,1,45.7,10.25,0.5,12.8,6.55,1.0,76.8,2.5,1.75,
139,2,2023-06-30 23:57:49,2023-07-01 00:09:31,2.0,1.47,1.0,N,107,249,1,12.1,1.0,0.5,3.42,0.0,1.0,20.52,2.5,0.0,
140,2,2023-06-30 23:57:49,2023-07-01 00:26:49,1.0,10.53,1.0,N,138,48,1,45.7,6.0,0.5,10.0,6.55,1.0,74.0,2.5,1.75,
141,2,2023-06-30 23:57:48,2023-07-01 00:00:21,2.0,0.57,1.0,N,79,114,2,5.1,1.0,0.5,0.0,0.0,1.0,10.1,2.5,0.0,
142,2,2023-06-30 23:57:47,2023-07-01 00:25:19,1.0,7.79,1.0,N,87,145,1,37.3,1.0,0.5,8.46,0.0,1.0,50.76,2.5,0.0,
143,2,2023-06-30 23:57:42,2023-07-01 00:15:14,1.0,8.09,1.0,N,48,243,1,33.8,1.0,0.5,7.76,0.0,1.0,46.56,2.5,0.0,
144,2,2023-06-30 23:57:42,2023-07-01 00:13:44,2.0,3.08,1.0,N,161,262,1,17.7,1.0,0.5,0.0,0.0,1.0,22.7,2.5,0.0,
145,1,2023-06-30 23:57:39,2023-06-30 23:59:41,1.0,0.3,1.0,N,229,233,1,4.4,3.5,0.5,1.85,0.0,1.0,11.25,2.5,0.0,
146,2,2023-06-30 23:57:38,2023-07-01 00:09:13,2.0,1.21,1.0,N,4,211,1,12.1,1.0,0.5,3.42,0.0,1.0,20.52,2.5,0.0,
147,1,2023-06-30 23:57:34,2023-07-01 00:08:54,1.0,2.2,1.0,N,114,68,1,12.1,3.5,0.5,3.4,0.0,1.0,20.5,2.5,0.0,
148,2,2023-06-30 23:57:33,2023-07-01 00:09:15,,2.75,,,166,142,0,16.14,0.0,0.5,0.0,0.0,1.0,20.14,,,
